URL,Landlord,Bed/Bath,Address,Price,Amenities,DealScore,Flags
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=106,Miller Properties,5bd/2ba,2120 Vine St La Crosse WI,"$2,375 ","Trash, Refrigerator, Range/Oven",90,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=111,Three Sixty,3bd/1.5ba,507 13th St North La Crosse WI,"$1,764 ","Trash, Refrigerator, Range/Oven, Dishwasher, Microwave, Heat, Electric, Water",80,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=143,EKIM Properties,2bd/1ba,102 9th St N-RENTED La Crosse WI,$950 ,"Heat, Water, Hot Water, Trash, Refrigerator, Range/Oven, Dishwasher",100,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=144,EKIM Properties,4bd/1ba,112 9th St North La Crosse WI,"$1,800 ","Heat, Electric, Water, Hot Water, Trash, Refrigerator, Range/Oven, Dishwasher",95,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=145,EKIM Properties,1bd/1ba,615 9th St N-RENTED La Crosse WI,$650 ,"Hot Water, Refrigerator, Range/Oven",100,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=155,Off-Campus La Crosse LLC,9bd/2ba,804 Vine St La Crosse WI,"$5,130 ","Refrigerator, Range/Oven, Dishwasher",65,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=157,EKIM Properties,1bd/1ba,905 Main St-RENTED La Crosse WI,"$1,200 ","Heat, Electric, Water, Hot Water, Trash, Refrigerator, Range/Oven, Dishwasher",65,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=160,EKIM Properties,2bd/2ba,933 Cameron Ave-RENTED La Crosse WI,"$1,100 ","Refrigerator, Range/Oven",95,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=162,EKIM Properties,3bd/1ba,104 9th St N-RENTED La Crosse WI,"$1,500 ","Heat, Electric, Water, Hot Water, Trash, Refrigerator, Range/Oven, Dishwasher",90,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=163,EKIM Properties,4bd/1ba,108 9th St North La Crosse WI,"$1,800 ","Water, Hot Water, Trash, Refrigerator, Range/Oven, Dishwasherr",95,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=164,Off-Campus La Crosse LLC,2bd/1ba,1309 10th St South La Crosse WI,$900 ,"Trash, Refrigerator, Range/Oven",100,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=170,Mickelson Properties,3bd/1ba,630 9th St North La Crosse WI,"$1,950 ","Wi-Fi, Basic cable, Storage room, Trash, Refrigerator, Range/Stove, Dishwasher, Microwave",70,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=184,Three Sixty,2bd/1ba,414 11th St North La Crosse WI,"$1,022 ","Trash, Refrigerator, Range/Oven, Dishwasher",100,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=186,Three Sixty,2bd/2ba,420 11th St North La Crosse WI,"$1,640 ","Trash, Refrigerator, Range/Oven, Dishwasher",65,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=197,B.Sawyer Properties,2bd/1ba,700 10th St North La Crosse WI,"$1,080 ","Dishwasher, Trash, Refrigerator, Range/Oven",95,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=198,B.Sawyer Properties,3bd/1ba,700 10th St North La Crosse WI,"$1,620 ","Trash, Refrigerator, Range/Oven, Dishwasher",85,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=199,B.Sawyer Properties,3bd/1ba,632 11th St North La Crosse WI,"$1,515 ","Trash, Refrigerator, Range/Oven",90,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=200,B.Sawyer Properties,1bd/1ba,632 11th St North La Crosse WI,$820 ,"Trash, Refrigerator, Range/Oven",85,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=201,EKIM Properties,3bd/2ba,735 22nd St N-RENTED La Crosse WI,"$1,200 ","Trash, Refrigerator, Range/Oven",100,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=210,Off-Campus La Crosse LLC,8bd/2ba,1019 Zeisler St La Crosse WI,"$3,650 ","Trash, Refrigerator, Range/Oven, Lawn Care",85,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=271,Clarkin Properties,4bd/1ba,1422 Vine St La Crosse WI,"$2,000 ","Trash, Refrigerator, Range/Oven, Dishwasher",85,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=272,Clarkin Properties,4bd/1ba,1418 Vine St La Crosse WI,"$2,000 ","Trash, Refrigerator, Range/Oven, Dishwasher",85,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=273,Clarkin Properties,4bd/2ba,1128 State St La Crosse WI,"$1,900 ","Trash, Refrigerator, Range/Oven",90,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=274,Clarkin Properties,5bd/2ba,725 10th St North La Crosse WI,"$2,250 ","Trash, Refrigerator, Range/Oven, Dishwasher",90,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=277,EKIM Properties,4bd/1ba,903 Main St-RENTED La Crosse WI,"$2,200 ","Trash, Refrigerator, Range/Oven, Dishwasher",80,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=278,EKIM Properties,5bd/2ba,1624 Main St-RENTED La Crosse WI,"$2,500 ","Trash, Refrigerator, Range/Oven",85,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=279,EKIM Properties,3bd/1ba,1212 Ferry St La Crosse WI,"$1,450 ","Trash, Refrigerator, Range/Oven",95,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=28,Miller Properties,5bd/2ba,113 22nd St North La Crosse WI,"$2,375 ","Hot Water, Trash, Refrigerator, Range/Oven, Dishwasher, Disposal",90,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=280,B.Sawyer Properties,2bd/2ba,1031 La Crosse St La Crosse WI,"$1,350 ","Trash, Refrigerator, Range/Oven, Microwave, Dishwasher",75,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=283,Gerrard Properties,4bd/2ba,1135 State St La Crosse WI,"$2,560 ","Trash, Refrigerator, Range/Oven, Dishwasher, Microwave",65,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=284,Gerrard Properties,3bd/1ba,509 10th St North La Crosse WI,"$1,785 ","Trash, Refrigerator, Range/Oven",80,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=285,Gerrard Properties,3bd/1ba,1135 State St La Crosse WI,"$2,025 ","Trash, Refrigerator, Range/Oven, Dishwasher, Mocrowave",65,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=286,Gerrard Properties,2bd/1ba,1125 State St La Crosse WI,"$1,450 ","Trash, Refrigerator, Range/Oven, Dishwasher, Microwave",70,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=287,Gerrard Properties,3bd/1ba,1125 State St La Crosse WI,"$2,085 ","Trash, Refrigerator, Range/Oven, Dishwasher, Microwave",65,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=289,Baumgartner Properties,6bd/2ba,621 11th St N-RENTED La Crosse WI,"$2,200 ","Trash, Refrigerator, Range/Oven",100,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=290,Baumgartner Properties,4bd/2ba,515 10th St North La Crosse WI,"$1,800 ","Trash, Refrigerator, Range/Oven",95,
https://www.studentrentalslacrosse.com/all-rental-listings-la-crosse/?listing_id=291,Baumgartner Properties,4bd/1ba,702 11th St North La Crosse WI,"$1,600 ","Trash, Refrigerator, Range/Oven",100,
